title,location,price,bedrooms,bathrooms,toilets,property_type,market_status,date_added,date_updated
3 bedroom flat / apartment for sale,"Eko Atlantic City, Lagos",,3,4,4,Flat / Apartment,Available,17 Oct 2025,22 Oct 2025
Mixed-use land for sale,"Water Corporation Drive - Opposite Twin Waters, Oniru, Victoria Island (VI), Lagos","4,000,000,000",,,,Mixed-use Land,Available,11 Nov 2025,11 Nov 2025
5 bedroom detached duplex for sale,"Chevy View, Lekki, Lagos","300,000,000",5,,,Detached Duplex,Available,11 Nov 2025,11 Nov 2025
5 bedroom semi-detached duplex for sale,"Cowrie Creek, Ikate, Lekki, Lagos","950,000,000",5,5,6,Semi-detached Duplex,Available,24 Oct 2025,11 Nov 2025
4 bedroom semi-detached duplex for sale,"Ikota, Lekki, Lagos","150,000,000",4,4,5,Semi-detached Duplex,Available,31 Oct 2025,11 Nov 2025
3 bedroom house for sale,"Lekki - Epe Expressway, Abijo, Lekki, Lagos","200,000,000",3,3,4,House,Available,01 Mar 2025,11 Nov 2025
5 bedroom semi-detached duplex for sale,"Osapa, Lekki, Lagos","500,000,000",5,5,6,Semi-detached Duplex,Available,05 Nov 2025,11 Nov 2025
4 bedroom semi-detached duplex for sale,"Orchid Road, Lekki Phase 2, Lekki, Lagos","167,000,000",4,4,5,Semi-detached Duplex,Available,18 Oct 2025,11 Nov 2025
4 bedroom flat / apartment for sale,"Lekki Phase 1, Lekki, Lagos","400,000,000",4,4,5,Flat / Apartment,Available,03 Oct 2025,15 Oct 2025
5 bedroom detached duplex for sale,"Lekki Phase 1, Lekki, Lagos","1,500,000,000",5,5,6,Detached Duplex,Available,28 Oct 2025,28 Oct 2025
Land for sale,"Old Ikoyi, Ikoyi, Lagos","1,575,000,000",,,,Land,Available,11 Nov 2025,11 Nov 2025
2 bedroom block of flats for sale,"Adeniyi Jones, Ikeja, Lagos","160,000,000",2,,,Block of Flats,Available,11 Nov 2025,11 Nov 2025
5 bedroom detached duplex for sale,"Omole Phase 1, Ikeja, Lagos","700,000,000",5,,,Detached Duplex,Available,11 Nov 2025,11 Nov 2025
4 bedroom semi-detached duplex for sale,"Omole Phase 2, Ikeja, Lagos","380,000,000",4,,,Semi-detached Duplex,Available,11 Nov 2025,11 Nov 2025
4 bedroom semi-detached duplex for sale,"Ajah, Lagos","140,000,000",4,4,5,Semi-detached Duplex,Available,07 Nov 2025,07 Nov 2025
5 bedroom detached duplex for sale,"Ajah, Lagos","550,000,000",5,5,6,Detached Duplex,Available,19 Sep 2025,20 Oct 2025
4 bedroom terraced duplex for sale,"Ajah, Lagos","100,000,000",4,2,5,Terraced Duplex,Available,07 Nov 2025,11 Nov 2025
4 bedroom detached duplex for sale,"Ajah Lekk Lagos, Ajah, Lagos","280,000,000",4,5,5,Detached Duplex,Available,11 Nov 2025,11 Nov 2025
3 bedroom detached bungalow for sale,"3 Minutes To The Airport, Ibeju Lekki, Lagos","75,000,000",3,,,Detached Bungalow,Available,11 Nov 2025,11 Nov 2025
6 bedroom detached duplex for sale,"GRA Phase 2, Magodo, Lagos","700,000,000",6,,,Detached Duplex,Available,11 Nov 2025,11 Nov 2025
4 bedroom semi-detached duplex for sale,"GRA Phase 1, Magodo, Lagos","235,000,000",4,,,Semi-detached Duplex,Available,11 Nov 2025,11 Nov 2025
